,No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Asset Turnover,Ent. Value,PE Ratio,Div. Yield,Div. Growth,Op. Income,Net Income,EPS,EBIT,EBITDA,Operating CF,Investing CF,Financing CF,Net CF,Income Tax,Total Debt,Debt Growth (YoY),Assets,Liabilities,PB Ratio,EV/EBITDA,Beta (1Y),ATR,Short Ratio
155,156,ROP,"Roper Technologies, Inc.",57057125900,533.02,6388800000.0,0.23,64580725900.0,38.65,0.56%,9.98%,1825500000.0,1483100000.0,13.79,2064400000.0,2100400000.0,2102900000.0,-3978100000.0,889900000.0,-983200000.0,400800000.0,7722000000.0,0.1588,29978500000.0,12180900000.0,3.21,30.75,1.0,8.05,2.0
156,157,PCAR,PACCAR Inc,56581452750,107.95,35398400000.0,0.91,62585252750.0,11.21,1.11%,14.16%,6486400000.0,5062200000.0,9.63,6900500000.0,7838300000.0,4974200000.0,-3104400000.0,-87000000.0,1784400000.0,1271500000.0,14029700000.0,0.17739999999999997,40373600000.0,23501700000.0,3.35,7.98,0.95,2.11,3.61
157,158,ORLY,"O'Reilly Automotive, Inc.",56391689691,957.51,16080626000.0,1.17,63890502691.0,24.3,0,0,3222212000.0,2376934000.0,39.41,3241964000.0,3666926000.0,3024535000.0,-1175169000.0,-1820647000.0,29392000.0,650786000.0,7588077000.0,0.0601,14213054000.0,15604252000.0,5.92501530285503,17.42,0.9,18.05,2.32
158,159,OXY,Occidental Petroleum Corporation,55157687770,62.21,27670000000.0,0.38,74721687770.0,17.04,1.42%,29.03%,5961000000.0,3508000000.0,3.65,6878000000.0,13715000000.0,11445000000.0,-7192000000.0,-4138000000.0,115000000.0,1566000000.0,20836000000.0,0.008199999999999999,74277000000.0,43310000000.0,1.79,5.45,1.66,1.15,6.31
159,160,MMM,3M Company,54605663480,98.68,32653000000.0,0.64,65791663480.0,16.31250493471817,5.28%,-12.88%,-8868000000.0,-7043000000.0,-12.71,-9377000000.0,-7426000000.0,6172000000.0,-1214000000.0,2190000000.0,7087000000.0,-2596000000.0,22157000000.0,0.315,55243000000.0,50310000000.0,11.22,9.931546115222982,1.04,2.07,1.79
160,161,AJG,Arthur J. Gallagher & Co.,54260105000,248.33,10622500000.0,0.19,61117605000.0,50.37,0.97%,8.49%,2143200000.0,1091400000.0,4.93,1672300000.0,2417100000.0,2392500000.0,-3228300000.0,1910400000.0,989800000.0,259900000.0,8620100000.0,0.2025,60975900000.0,49631700000.0,4.8,25.29,0.69,3.63,2.19
161,162,MNST,Monster Beverage Corporation,53805354500,51.65,7340195000.0,0.77,50337319500.0,32.48,0,0,2010282000.0,1675593000.0,1.59,2148669000.0,2231302000.0,1705420000.0,-175951000.0,-621299000.0,903864000.0,473076000.0,92690000.0,1.2213,10098066000.0,1520277000.0,6.27,22.56,0.74,0.87,2.29
162,163,VLO,Valero Energy Corporation,53486735720,163.57,140086000000.0,2.25,59466735720.0,8.04,2.62%,4.50%,9494000000.0,7013000000.0,20.35,9691000000.0,12427000000.0,7905000000.0,-1953000000.0,-6587000000.0,-604000000.0,2092000000.0,10897000000.0,-0.0467,62574000000.0,33750000000.0,2.05,4.79,1.54,3.91,4.95
163,164,MCHP,Microchip Technology Incorporated,53055074520,98.82,7634400000.0,0.47,58735174520.0,28.4,1.83%,27.81%,2571000000.0,1906900000.0,3.48,2564200000.0,3443700000.0,2892700000.0,-392100000.0,-2414900000.0,85700000.0,459000000.0,5999800000.0,-0.0683,15873200000.0,9215400000.0,7.97,17.06,1.6,2.48,4.41
164,165,EW,Edwards Lifesciences Corporation,52450304000,87.04,6143400000.0,0.66,51451904000.0,37.52,0,0,1506300000.0,1413800000.0,2.32,1630400000.0,1807700000.0,528200000.0,236400000.0,-442700000.0,352600000.0,199000000.0,699200000.0,0.0166,9736300000.0,2549900000.0,7.37,28.46,1.1,1.88,3.06
165,166,COF,Capital One Financial Corporation,52178183640,136.62,26972000000.0,0.06,51511183640.0,10.7,1.76%,0,6464000000.0,4895000000.0,12.77,6464000000.0,9245000000.0,20593000000.0,-17251000000.0,1187000000.0,4529000000.0,1257000000.0,50361000000.0,0.0325,481720000000.0,423919000000.0,0.9,5.57,1.46,2.42,5.02
166,167,AIG,"American International Group, Inc.",51341356480,77.36,48396000000.0,0.09,71460356480.0,11.49,2.07%,12.12%,7192000000.0,4785000000.0,6.73,6493000000.0,10434000000.0,6265000000.0,-5239000000.0,-1176000000.0,-194000000.0,575000000.0,21935000000.0,-0.1578,544121000000.0,495011000000.0,1.18,6.85,1.03,1.34,2.07
167,168,SMCI,"Super Micro Computer, Inc.",51220541680,874.72,11819523000.0,2.15,50968532680.0,49.03,0,0,1149043000.0,1048991000.0,17.84,1161777000.0,1199923000.0,-1853497000.0,-142837000.0,3751781000.0,1752682000.0,93037000.0,1863467000.0,8.954,8862781000.0,3768625000.0,10.06,42.48,1.34,68.54,0.53
168,169,CPRT,"Copart, Inc.",50741973540,52.73,4165415000.0,0.56,47763677540.0,37.13,0,0,1603096000.0,1388238000.0,1.42,1701002000.0,1884544000.0,1391920000.0,-2479784000.0,26484000.0,-1024188000.0,341912000.0,112033000.0,-0.1334,8010632000.0,814446000.0,7.08,25.34,1.22,1.06,2.98
169,170,DXCM,"DexCom, Inc.",50656987920,127.38,3801800000.0,0.58,50292487920.0,82.71,0,0,651600000.0,639300000.0,1.54,794100000.0,991000000.0,802300000.0,-245700000.0,-325100000.0,228100000.0,139100000.0,2532500000.0,0.21539999999999998,6482200000.0,4235400000.0,22.55,50.75,1.22,3.43,2.85
170,171,TFC,Truist Financial Corporation,50513275000,37.75,19999000000.0,0.04,81363275000.0,15.089974101460657,5.51%,0,-729000000.0,-1771000000.0,-1.33,-707000000.0,465000000.0,7523000000.0,30811000000.0,-39945000000.0,-1611000000.0,700000000.0,65400000000.0,-0.3011,534959000000.0,475906000000.0,0.86,174.97,1.06,0.82,1.66
171,172,MET,"MetLife, Inc.",50475510540,70.98,67574000000.0,0.1,50486510540.0,24.48,3.07%,4.21%,2950000000.0,2166000000.0,2.9,2923000000.0,3641000000.0,14023000000.0,-11369000000.0,-906000000.0,1384000000.0,558000000.0,19851000000.0,0.0642,677576000000.0,648780000000.0,1.77,13.87,1.03,1.29,2.48
172,173,NSC,Norfolk Southern Corporation,50335898340,222.81,12028000000.0,0.29,67266898340.0,35.88,2.42%,4.25%,2353000000.0,1414000000.0,6.21,2506000000.0,3820000000.0,2845000000.0,-3635000000.0,890000000.0,100000000.0,344000000.0,17583000000.0,0.17309999999999998,42128000000.0,29592000000.0,4.02,17.61,1.3,5.29,1.21
173,174,HLT,Hilton Worldwide Holdings Inc.,50009200000,200.0,10515000000.0,0.68,59537200000.0,43.29,0.30%,0,2260000000.0,1200000000.0,4.62,2224000000.0,2370000000.0,1962000000.0,-247000000.0,-1255000000.0,442000000.0,545000000.0,10948000000.0,0.1438,15932000000.0,18749000000.0,5.25441384904676,25.12,1.27,3.85,1.89
174,175,AFL,Aflac Incorporated,49583051720,87.26,19336000000.0,0.15,52397051720.0,9.59,2.29%,12.20%,6284000000.0,5350000000.0,9.1,6284000000.0,6284000000.0,3331000000.0,939000000.0,-3046000000.0,1289000000.0,740000000.0,7912000000.0,0.0663,124742000000.0,101205000000.0,2.11,8.34,0.91,1.25,6.42
175,176,WMB,"The Williams Companies, Inc.",49566562500,40.67,10597000000.0,0.21,75613562500.0,17.16,4.67%,5.73%,3834000000.0,2881000000.0,2.37,5079000000.0,7192000000.0,5658000000.0,-4688000000.0,-780000000.0,190000000.0,914000000.0,26887000000.0,0.1014,52747000000.0,37817000000.0,3.98,10.51,1.07,0.65,3.26
176,177,GM,General Motors Company,49163966400,43.09,174870000000.0,0.63,104238966400.0,5.26,1.11%,16.67%,10455000000.0,10624000000.0,8.19,12503000000.0,24377000000.0,20996000000.0,-16315000000.0,-4368000000.0,237000000.0,896000000.0,122237000000.0,0.0683,276591000000.0,205990000000.0,0.74,4.28,1.5,0.89,4.75
177,178,JCI,Johnson Controls International plc,48962771680,72.68,26832000000.0,0.62,58842771680.0,29.43,2.04%,4.96%,1423000000.0,1695000000.0,2.47,1516000000.0,2422000000.0,1754000000.0,-1081000000.0,-1759000000.0,-1080000000.0,-514000000.0,10723000000.0,0.022099999999999998,43457000000.0,26616000000.0,3.13,24.3,1.25,1.49,2.22
178,179,NEM,Newmont Corporation,48893136000,42.4,13156000000.0,0.28,55888136000.0,14.605985376699367,2.36%,-31.58%,-1805000000.0,-2675000000.0,-3.27,-1831000000.0,470000000.0,3058000000.0,-1458000000.0,-1552000000.0,-344000000.0,573000000.0,9468000000.0,0.5473,55335000000.0,26260000000.0,1.69,118.91,0.49,1.2,1.26
180,181,AZO,"AutoZone, Inc.",48448120000,2800.0,17830562000.0,1.1,59972722000.0,19.74,0,0,3672823000.0,2621057000.0,141.82,3672823000.0,4192628000.0,3057113000.0,-1150164000.0,-1908206000.0,2810000.0,674723000.0,11828698000.0,0.1629,16717654000.0,21554975000.0,5.090392821486432,14.3,0.72,48.38,3.57
181,182,TRV,"The Travelers Companies, Inc.",48173257410,210.37,42888000000.0,0.35,55606955310.0,15.66,2.00%,6.86%,4199000000.0,3139000000.0,13.43,4199000000.0,4199000000.0,8157000000.0,-7403000000.0,-857000000.0,-100000000.0,674000000.0,8032000000.0,0.1015,127410000000.0,102388000000.0,1.93,13.24,0.61,3.29,2.56
182,183,SPG,"Simon Property Group, Inc.",47971260480,147.18,5750577000.0,0.17,72765176480.0,18.73,5.44%,7.64%,2879478000.0,2559664000.0,7.86,3591772000.0,4927726000.0,3875215000.0,-510070000.0,-3269463000.0,95682000.0,142930000.0,26045021000.0,-0.0008,33696691000.0,29934567000.0,15.44,14.77,1.71,2.81,3.84
183,184,SRE,Sempra,47691274560,75.36,13800000000.0,0.16,78628274560.0,16.69,3.29%,4.07%,2984000000.0,2862000000.0,4.51,4441000000.0,6723000000.0,6089000000.0,-8928000000.0,2968000000.0,131000000.0,286000000.0,31771000000.0,0.0783,89604000000.0,54943000000.0,1.64,11.7,0.7,1.19,3.67
184,185,PSA,Public Storage,47531855250,270.49,4580678000.0,0.24,56328100250.0,24.57,4.44%,20.00%,2256339000.0,1940362000.0,11.01,2384676000.0,3418285000.0,3215341000.0,-3512775000.0,-126158000.0,-423592000.0,12300000.0,9067890000.0,0.3143,19617385000.0,9572087000.0,4.78,16.48,0.56,5.29,4.55
185,186,OKE,"ONEOK, Inc.",47252061120,80.96,17937000000.0,0.46,69188061120.0,19.09,4.89%,2.91%,3639000000.0,2248000000.0,4.24,3965000000.0,4826000000.0,3796000000.0,-7029000000.0,2618000000.0,-615000000.0,716000000.0,22001000000.0,0.6535,44390000000.0,27945000000.0,2.87,14.34,1.61,1.25,4.05
186,187,DHI,"D.R. Horton, Inc.",47042219200,142.85,37062800000.0,1.12,49886719200.0,9.74,0.84%,17.95%,6292300000.0,4964300000.0,14.67,6525900000.0,6612100000.0,2360400000.0,-195600000.0,-2146000000.0,18800000.0,1561600000.0,5937900000.0,-0.0049,34398200000.0,10101800000.0,1.98,7.54,1.67,3.83,2.4
187,188,HES,Hess Corporation,46847973450,152.05,11533000000.0,0.49,55052973450.0,23.28,1.15%,7.69%,3750000000.0,2008000000.0,6.53,3381000000.0,5493000000.0,4189000000.0,-4230000000.0,-621000000.0,-662000000.0,905000000.0,9643000000.0,0.045899999999999996,24719000000.0,14188000000.0,4.75,10.02,1.25,2.86,2.5
188,189,AEP,"American Electric Power Company, Inc.",46713551551,88.62,19317100000.0,0.2,90404651551.0,16.53,3.97%,6.12%,4024000000.0,2814200000.0,5.36,4543300000.0,7645300000.0,5736600000.0,-5690800000.0,-157500000.0,-111700000.0,-97700000.0,44189900000.0,0.0178,97744600000.0,71849300000.0,1.81,11.82,0.5,1.43,3.61
189,190,DLR,"Digital Realty Trust, Inc.",46427214790,143.77,5469481000.0,0.13,63611522790.0,40.05,3.39%,0,496494000.0,1120896000.0,3.59,1683214000.0,3387977000.0,1637329000.0,-359485000.0,-237148000.0,1040696000.0,76538000.0,18378092000.0,-0.0487,42633089000.0,21792866000.0,2.44,18.78,0.56,3.09,4.18
190,191,ROST,"Ross Stores, Inc.",46151655480,137.64,20376941000.0,1.45,47026913480.0,24.76,1.07%,8.91%,2307663000.0,1874520000.0,5.56,2307663000.0,2727095000.0,2514490000.0,-762812000.0,-1428478000.0,323200000.0,597261000.0,5747704000.0,0.0072,14300109000.0,9428783000.0,9.47,17.24,1.07,3.19,2.3
191,192,GWW,"W.W. Grainger, Inc.",46081491456,939.12,16622000000.0,2.03,47991491456.0,25.91,0.87%,8.69%,2554000000.0,1819000000.0,36.24,2510000000.0,2826000000.0,2238000000.0,-444000000.0,-1445000000.0,343000000.0,601000000.0,2714000000.0,-0.0022,8400000000.0,4891000000.0,14.4,16.98,1.18,16.05,5.26
192,193,TEL,TE Connectivity Ltd.,46056841600,150.4,15831000000.0,0.71,49076841600.0,13.75,1.73%,10.17%,2655000000.0,3424000000.0,10.94,2718000000.0,3504000000.0,3346000000.0,-991000000.0,-2071000000.0,271000000.0,-782000000.0,4196000000.0,-0.0014000000000000002,22824000000.0,10264000000.0,3.7,14.01,1.36,2.12,1.04
193,194,F,Ford Motor Company,45803003200,11.68,177494000000.0,0.66,116155003200.0,12.04,3.82%,3.84%,4570000000.0,3922000000.0,0.97,4614000000.0,12288000000.0,13503000000.0,-21531000000.0,6000000000.0,-2373000000.0,-580000000.0,149415000000.0,0.0727,274341000000.0,231444000000.0,1.07,9.45,1.63,0.3,2.23
194,195,KDP,Keurig Dr Pepper Inc.,45696264700,33.71,14929000000.0,0.29,60327264700.0,21.61,2.55%,7.50%,3373000000.0,2168000000.0,1.56,3421000000.0,3953000000.0,1343000000.0,-872000000.0,-371000000.0,113000000.0,602000000.0,14948000000.0,0.2078,52286000000.0,27633000000.0,1.85,15.26,0.62,0.46,1.79
195,196,FTNT,"Fortinet, Inc.",45416114100,59.45,5395800000.0,0.72,43385814100.0,38.6,0,0,1288800000.0,1199400000.0,1.54,1382500000.0,1497000000.0,2088400000.0,-877200000.0,-1587000000.0,-377900000.0,162000000.0,992800000.0,0.0019,7662100000.0,7799600000.0,4.77182316247666,28.98,1.09,1.73,2.04
196,197,ADSK,"Autodesk, Inc.",45346924200,210.45,5346000000.0,0.58,46040924200.0,49.52,0,0,1090000000.0,917000000.0,4.25,1090000000.0,1229000000.0,1787000000.0,-583000000.0,-1343000000.0,-139000000.0,159000000.0,2648000000.0,-0.1275,9226000000.0,7744000000.0,30.6,37.46,1.45,4.64,1.06
197,198,EL,The Estée Lauder Companies Inc.,45236539985,126.06,15346000000.0,0.67,51375539985.0,70.82,2.09%,2.33%,1198000000.0,641000000.0,1.78,1367000000.0,2177000000.0,2185000000.0,-3425000000.0,-559000000.0,-1830000000.0,340000000.0,9840000000.0,0.039900000000000005,22700000000.0,16956000000.0,7.88,23.6,1.07,3.95,2.11
198,199,STZ,"Constellation Brands, Inc.",44913131970,245.49,9961800000.0,0.4,56640031970.0,26.14,1.65%,11.85%,3169700000.0,1727400000.0,9.39,2619400000.0,3138600000.0,2780000000.0,-1285900000.0,-1474600000.0,18900000.0,456600000.0,11879300000.0,-0.0467,25691700000.0,15627100000.0,4.61,18.05,0.95,4.19,3.2
199,200,O,Realty Income Corporation,44905815180,51.57,4395079000.0,0.08,69566706180.0,47.75,6.11%,2.58%,1649484000.0,776989000.0,1.08,1652055000.0,3676819000.0,3006208000.0,-8065945000.0,5504559000.0,453021000.0,55573000.0,25341050000.0,0.342,68328249000.0,29009765000.0,1.15,18.92,0.92,0.86,2.35
200,201,D,"Dominion Energy, Inc.",44332979790,52.89,14770000000.0,0.14,85551979790.0,27.84,5.05%,0,3288000000.0,1671000000.0,1.9,4055000000.0,7078000000.0,6457000000.0,-3520000000.0,-4557000000.0,-1620000000.0,580000000.0,41484000000.0,-0.1368,102005000000.0,74584000000.0,1.62,12.09,0.59,0.86,3.91
201,202,URI,"United Rentals, Inc.",44265636025,664.75,14532000000.0,0.56,57207636025.0,18.02,0.98%,0,3939000000.0,2515000000.0,36.89,3957000000.0,6731000000.0,4794000000.0,-3496000000.0,-963000000.0,330000000.0,797000000.0,13371000000.0,0.0693,26658000000.0,18538000000.0,5.45,8.5,1.82,19.28,4.21
202,203,BK,The Bank of New York Mellon Corporation,43552803840,58.24,17713000000.0,0.04,-43771196160.0,14.63,2.89%,13.51%,4818000000.0,3102000000.0,3.98,4219000000.0,6084000000.0,1440000000.0,-14799000000.0,10501000000.0,-2811000000.0,881000000.0,47814000000.0,-0.1973,434728000000.0,393966000000.0,1.07,7.921278713931315,1.1,0.83,2.53
203,204,KMB,Kimberly-Clark Corporation,43485967350,129.15,20385000000.0,1.18,50602967350.0,23.7,3.78%,2.56%,2410000000.0,1845000000.0,5.45,2596000000.0,3346000000.0,3367000000.0,-484000000.0,-2462000000.0,329000000.0,464000000.0,7970000000.0,-0.0603,17092000000.0,15908000000.0,41.65,15.12,0.39,1.82,1.93
204,205,A,"Agilent Technologies, Inc.",43433681550,148.21,6735000000.0,0.62,44240681550.0,35.37,0.64%,5.42%,1308000000.0,1236000000.0,4.19,1424000000.0,1690000000.0,1961000000.0,-301000000.0,-1153000000.0,497000000.0,96000000.0,2555000000.0,-0.14,10948000000.0,4760000000.0,7.02,26.18,1.13,3.01,3.07
205,206,ALL,The Allstate Corporation,43433194530,164.67,58567000000.0,0.57,50521194530.0,36.03,2.24%,4.02%,9218000000.0,1219000000.0,4.57,1956000000.0,2615000000.0,5293000000.0,-3575000000.0,-1530000000.0,188000000.0,216000000.0,7938000000.0,-0.0608,105241000000.0,86761000000.0,2.33,19.32,0.51,2.91,1.69
206,207,PAYX,"Paychex, Inc.",43292750010,120.27,5212800000.0,0.44,42390350010.0,26.2,3.26%,11.96%,2145600000.0,1660900000.0,4.59,2189800000.0,2364800000.0,2085300000.0,-261700000.0,346900000.0,2170500000.0,528900000.0,868800000.0,-0.0028000000000000004,13023900000.0,9276800000.0,11.55,17.93,0.93,2.17,5.61
207,208,AMP,"Ameriprise Financial, Inc.",43203351753,434.97,15939000000.0,0.09,40124351753.0,14.8,1.36%,8.43%,4291000000.0,3129000000.0,29.38,4291000000.0,4130000000.0,5073000000.0,-6685000000.0,-182000000.0,-1779000000.0,828000000.0,5718000000.0,-0.0669,179831000000.0,174952000000.0,8.85,9.72,1.35,6.42,2.06
208,209,COR,Cencora,43123516920,216.21,276536514000.0,4.38,46304116920.0,23.63,0.94%,5.22%,2523203000.0,1852421000.0,9.15,2529230000.0,2969064000.0,2578460000.0,-1234857000.0,-717386000.0,596483000.0,453309000.0,5249458000.0,0.0642,63868046000.0,62641024000.0,39.81,15.6,0.54,3.27,4.73
209,210,LEN,Lennar Corporation,42730939578,154.95,35055867000.0,0.92,40598508578.0,10.88,1.29%,16.67%,5451381000.0,4061311000.0,14.24,5328044000.0,5445042000.0,4569400000.0,-288541000.0,-3293548000.0,987311000.0,1266733000.0,2830332000.0,-0.2983,38951199000.0,12173269000.0,1.6,7.46,1.55,3.99,2.84
210,211,KHC,The Kraft Heinz Company,42561215000,35.05,26562000000.0,0.29,61480215000.0,15.31,4.57%,0,4631000000.0,2820000000.0,2.29,4529000000.0,5500000000.0,4261000000.0,-939000000.0,-2478000000.0,800000000.0,798000000.0,20545000000.0,0.0219,90309000000.0,40621000000.0,0.86,11.18,0.65,0.6,2.77
211,212,CCI,Crown Castle Inc.,42452897100,97.7,6849000000.0,0.18,71283897100.0,30.53,6.41%,1.54%,2279000000.0,1394000000.0,3.2,2294000000.0,4056000000.0,3119000000.0,-1432000000.0,-1776000000.0,-89000000.0,26000000.0,29124000000.0,0.0212,38231000000.0,32183000000.0,7.02,17.57,0.77,1.91,1.59
212,213,KMI,"Kinder Morgan, Inc.",42323576600,19.07,15288000000.0,0.22,74350576600.0,17.5,6.03%,1.79%,4260000000.0,2458000000.0,1.09,5010000000.0,7282000000.0,6347000000.0,-4239000000.0,-2403000000.0,-295000000.0,728000000.0,32146000000.0,0.0203,70736000000.0,38993000000.0,1.39,10.21,0.88,0.27,3.26
213,214,PRU,"Prudential Financial, Inc.",42265070000,117.73,60443000000.0,0.09,51178070000.0,20.09,4.42%,4.08%,2615000000.0,2164000000.0,5.86,2684000000.0,2970000000.0,10388000000.0,-19063000000.0,10153000000.0,1283000000.0,520000000.0,27648000000.0,-0.0192,725823000000.0,696409000000.0,1.55,17.23,1.35,1.85,3.37
214,215,HUM,Humana Inc.,42080154210,349.21,109243000000.0,2.09,33018154210.0,21.53,1.01%,5.83%,3530000000.0,1991000000.0,16.22,3258000000.0,4199000000.0,-2283000000.0,-2614000000.0,-2928000000.0,-7825000000.0,728000000.0,13545000000.0,0.1272,50091000000.0,33905000000.0,2.61,7.86,0.5,6.47,1.65
215,216,FIS,"Fidelity National Information Services, Inc.",41791137630,75.13,11212000000.0,0.23,49656137630.0,12.484385233530748,1.92%,-11.11%,-5149000000.0,-6070000000.0,-10.25,-5239000000.0,-3031000000.0,3668000000.0,8322000000.0,-12108000000.0,-174000000.0,190000000.0,11194000000.0,-0.44060000000000005,35871000000.0,17846000000.0,2.32,7.600871120849816,0.99,1.59,3.43
216,217,IDXX,"IDEXX Laboratories, Inc.",41739621420,505.4,3724853000.0,1.19,42391843420.0,48.97,0,0,1115687000.0,866567000.0,10.32,1125332000.0,1241813000.0,921183000.0,-192687000.0,-439989000.0,286066000.0,222400000.0,1049655000.0,-0.1932,3353515000.0,1784609000.0,26.6,34.14,1.27,13.0,3.15
217,218,LHX,"L3Harris Technologies, Inc.",41515261600,218.87,20159000000.0,0.5,54746261600.0,35.53,2.12%,1.77%,1411000000.0,1173000000.0,6.16,1784000000.0,3020000000.0,1642000000.0,-5089000000.0,3377000000.0,-68000000.0,-6000000.0,13708000000.0,0.40340000000000004,41816000000.0,23086000000.0,2.22,18.13,0.64,2.78,1.59
218,219,IQV,IQVIA Holdings Inc.,41306562000,226.71,15069000000.0,0.57,53471562000.0,31.01,0,0,2012000000.0,1357000000.0,7.31,2133000000.0,3269000000.0,2254000000.0,-1695000000.0,-575000000.0,-50000000.0,79000000.0,13740000000.0,0.023,26574000000.0,20230000000.0,6.51,16.36,1.53,4.88,3.41
219,220,PWR,"Quanta Services, Inc.",40935940320,279.64,21485199000.0,1.39,44411347320.0,54.3,0.13%,12.90%,1120338000.0,768003000.0,5.15,1198079000.0,1827500000.0,1775498000.0,-887634000.0,-577231000.0,309257000.0,243784000.0,4006463000.0,-0.0857,15542352000.0,9175083000.0,6.44,24.3,1.1,7.1,3.98
220,221,DOW,Dow Inc.,40814076240,58.04,43536000000.0,0.75,54829076240.0,34.55,4.82%,0,1821000000.0,1198000000.0,1.68,1912000000.0,4595000000.0,5125000000.0,-3049000000.0,-1695000000.0,323000000.0,-46000000.0,17738000000.0,0.0702,58817000000.0,39900000000.0,2.22,11.93,1.29,0.95,3.35
221,222,NUE,Nucor Corporation,40373523180,168.39,34140604000.0,1.0,41685991180.0,9.9,1.28%,3.96%,5799820000.0,4233100000.0,17.01,5416688000.0,6620766000.0,6364411000.0,-2616376000.0,-3067683000.0,676626000.0,1261190000.0,6851452000.0,0.0271,33932525000.0,12207006000.0,1.95,6.3,1.66,3.55,3.67
222,223,HSY,The Hershey Company,39962565369,197.61,11430127000.0,0.96,44827247369.0,19.58,2.77%,23.65%,2819043000.0,2072055000.0,10.09,2552788000.0,2982168000.0,2136927000.0,-1237928000.0,-817658000.0,60058000.0,326811000.0,5385086000.0,0.1451,12389754000.0,8281467000.0,9.73,15.03,0.33,3.87,2.13
223,224,MSCI,MSCI Inc.,39271435940,495.7,2616667000.0,0.51,43394849940.0,33.84,1.29%,13.31%,1409389000.0,1165818000.0,14.65,1575729000.0,1747537000.0,1272025000.0,-829949000.0,-1002861000.0,-561293000.0,222764000.0,4642729000.0,0.0003,5478589000.0,6129106000.0,4.126208315171781,24.83,1.09,11.99,0.93
224,225,CHTR,"Charter Communications, Inc.",39092622600,271.42,54633000000.0,0.37,136396622600.0,8.78,0,0,12764000000.0,4642000000.0,30.9,11546000000.0,20226000000.0,14322000000.0,-11295000000.0,-2900000000.0,127000000.0,1665000000.0,97965000000.0,-0.0001,148044000000.0,132438000000.0,3.29,6.74,0.97,7.73,8.91
225,226,AME,"AMETEK, Inc.",38958715700,168.31,6736013000.0,0.48,41518128700.0,29.58,0.67%,12.77%,1719134000.0,1318419000.0,5.69,1704622000.0,2057879000.0,1758987000.0,-2275682000.0,494700000.0,-26108000.0,289723000.0,2933178000.0,0.306,14864981000.0,5896766000.0,4.34,20.18,1.22,3.03,3.09
226,227,PCG,PG&E Corporation,38939055182,18.22,24080000000.0,0.19,96487055182.0,16.27,0.22%,0,3318000000.0,2405000000.0,1.12,4198000000.0,7881000000.0,5823000000.0,-9952000000.0,3734000000.0,-395000000.0,-1170000000.0,58568000000.0,0.061500000000000006,127645000000.0,101662000000.0,1.51,12.24,1.26,0.28,2.62
227,228,CNC,Centene Corporation,38807464247,72.72,155517000000.0,1.86,37140464247.0,14.4,0,0,2818000000.0,2735000000.0,5.05,4411000000.0,5666000000.0,3328000000.0,-86000000.0,-1452000000.0,1762000000.0,953000000.0,18000000000.0,-0.0175,82624000000.0,55560000000.0,1.44,6.55,0.41,1.68,2.58
228,229,CTVA,"Corteva, Inc.",38793684160,55.66,16834000000.0,0.39,41775684160.0,70.46,1.15%,6.67%,1518000000.0,559000000.0,0.79,891000000.0,2122000000.0,2471000000.0,-746000000.0,-1607000000.0,-54000000.0,89000000.0,4640000000.0,-0.07719999999999999,43625000000.0,18617000000.0,1.57,19.69,0.78,1.06,2.63
229,230,RCL,Royal Caribbean Cruises Ltd.,38635805370,150.13,14742854000.0,0.43,59383805370.0,19.12,0,0,3356387000.0,2104910000.0,7.85,3571523000.0,5053750000.0,4495082000.0,-3984900000.0,-1299825000.0,-789866000.0,304898656.1960019,21185000000.0,-0.0391,35190000000.0,29865000000.0,7.5,11.75,2.5,3.65,5.89
230,231,OTIS,Otis Worldwide Corporation,38511765750,95.25,14300000000.0,1.42,44792765750.0,27.53,1.64%,16.53%,2189000000.0,1428000000.0,3.46,2120000000.0,2310000000.0,1520000000.0,-241000000.0,-1476000000.0,-234000000.0,531000000.0,7165000000.0,0.0104,9791000000.0,14607000000.0,4.046390570295959,19.39,0.93,1.51,2.21
231,232,ACGL,Arch Capital Group Ltd.,38394261500,102.25,14407000000.0,0.25,40128261500.0,8.07,0,0,3955000000.0,4808000000.0,12.67,4147000000.0,4240000000.0,6350000000.0,-5881000000.0,-81000000.0,385000000.0,-836000000.0,2727000000.0,0.0004,62768000000.0,43411000000.0,1.98,9.46,0.57,1.76,2.97
232,233,YUM,"Yum! Brands, Inc.",38262523520,135.86,7029000000.0,1.15,48798523520.0,24.09,1.97%,8.51%,2315000000.0,1611000000.0,5.64,2330000000.0,2489000000.0,1617000000.0,-6000000.0,-1342000000.0,269000000.0,219000000.0,11188000000.0,-0.047599999999999996,6224000000.0,13980000000.0,4.020202952316081,19.61,1.07,2.13,3.95
233,234,KR,The Kroger Co.,38060494450,52.31,150039000000.0,2.97,55424494450.0,17.67,2.22%,11.54%,3096000000.0,2164000000.0,2.96,3272000000.0,7022000000.0,6788000000.0,-3750000000.0,-2170000000.0,868000000.0,667000000.0,19247000000.0,-0.0571,50505000000.0,38904000000.0,3.28,7.89,0.49,0.86,3.93
234,235,CMI,Cummins Inc.,38060402800,278.26,34015000000.0,1.07,41844402800.0,20.42,2.42%,7.01%,1270000000.0,1938000000.0,13.63,3071000000.0,4114000000.0,3747000000.0,-1821000000.0,-1315000000.0,561000000.0,756000000.0,6835000000.0,-0.1183,31827000000.0,21726000000.0,4.2,10.17,1.04,5.48,1.99
